Burnup (GWd/MTIHM),Off-gas Eff: 0,Off-gas Eff: 5,Off-gas Eff: 10,Off-gas Eff: 12,Off-gas Eff: 15,Off-gas Eff: 20,Off-gas Eff: 40,Off-gas Eff: 60,Off-gas Eff: 80,Off-gas Eff: 100,Eff: 0 pcm,Eff: 5 pcm,Eff: 10 pcm,Eff: 12 pcm,Eff: 15 pcm,Eff: 20 pcm,Eff: 40 pcm,Eff: 60 pcm,Eff: 80 pcm,Eff: 100 pcm,5-0,10-0,12-0,15-0,20-0,40-0,60-0,80-0,100-0,10-5,12-5,15-5,20-5,40-5,60-5,80-5,100-5
0.0,1.28801393,1.28801393,1.28801393,1.28801393,1.28801393,1.28801393,1.28801393,1.28801393,1.28801393,1.28801393,22361.08812891488,22361.08812891488,22361.08812891488,22361.08812891488,22361.08812891488,22361.08812891488,22361.08812891488,22361.08812891488,22361.08812891488,22361.08812891488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.92,1.2164672,1.2384685,1.24095916,1.24143343,1.24192706,1.24255573,1.24335473,1.24363484,1.24377781,1.2438634,17794.742020171205,19255.112261636044,19417.1708277652,19447.95622267076,19479.973324681407,19520.712362736445,19572.42966373724,19590.54476151536,19599.787682335325,19605.320005396086,1460.3702414648396,1622.4288075939949,1653.2142024995555,1685.2313045102019,1725.9703425652406,1777.6876435660342,1795.802741344156,1805.0456621641206,1810.5779852248816,162.05856612915522,192.8439610347159,224.86106304536224,265.60010110040093,317.3174021011946,335.4324998793163,344.67542069928095,350.2077437600419
9.889,1.13010405,1.14960305,1.1520677,1.15254178,1.15304271,1.15356032,1.15437797,1.15466572,1.15481173,1.1548991,11512.572669746642,13013.452773981424,13199.545478099935,13235.249484838629,13272.94372296062,13311.858715806035,13373.260232954728,13394.848164367426,13405.798190151743,13412.349182712149,1500.8801042347823,1686.9728083532937,1722.676815091987,1760.3710532139776,1799.286046059393,1860.6875632080864,1882.2754946207842,1893.2255204051016,1899.7765129655072,186.0927041185114,221.79671085720474,259.4909489791953,298.40594182461064,359.80745897330416,381.39539038600196,392.34541617031937,398.89640873072494
21.987,1.0376021,1.05381072,1.05608369,1.05651988,1.05698197,1.05747334,1.05825176,1.05852531,1.05866617,1.05875109,3623.9421643421856,5106.2984062261185,5310.53462249757,5349.627685188467,5391.006811592069,5434.9682234069405,5504.52758046914,5528.9476262027265,5541.5173982559545,5549.093696800813,1482.3562418839329,1686.5924581553845,1725.6855208462812,1767.0646472498838,1811.026059064755,1880.5854161269544,1905.005461860541,1917.575233913769,1925.1515324586271,204.23621627145167,243.32927896234833,284.70840536595097,328.66981718082206,398.2291742430216,422.64921997660804,435.21899202983604,442.79529057469426
