Value Index,EBIN,UBINS,CBINS,MBINS,LBINS,RBINS,ZBINS,YBINS,XBINS,Mean Value,Stat. Error,Mean_E_Norm,Energy (eV),Energy (MeV)
27.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,119.699,0.0013,0.984609689890598,0.225,2.25e-07
28.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,114.954,0.00144,0.9455786789503989,0.25,2.5e-07
29.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,107.834,0.0015,0.8870115982561488,0.275,2.75e-07
30.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.8799,0.00144,0.8215834498642758,0.3,3e-07
31.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,91.4572,0.00149,0.7523007320885087,0.325,3.25e-07
32.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,82.5748,0.00155,0.6792366537797154,0.35,3.5e-07
33.0,33.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.321,0.00169,0.6113432590277207,0.375,3.75e-07
34.0,34.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66.7727,0.00155,0.5492531052068768,0.4,4e-07
35.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.4577,0.00142,0.4644048696224398,0.45,4.5e-07
36.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45.2438,0.00152,0.3721625401003537,0.5,5e-07
37.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.5009,0.00171,0.30024594883606154,0.55,5.5e-07
38.0,38.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0904,0.0018,0.2475150119272847,0.6,6e-07
39.0,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.4543,0.00281,0.21760549477667188,0.625,6.249999999999999e-07
40.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.4821,0.00283,0.2013827424529078,0.65,6.5e-07
41.0,41.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.1868,0.00227,0.1825022620712347,0.7,7e-07
42.0,42.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.9101,0.00239,0.16377477996216172,0.75,7.5e-07
43.0,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.3128,0.00262,0.1506358476597845,0.8,8e-07
44.0,44.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.1436,0.00293,0.14101834334128485,0.85,8.499999999999999e-07
45.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.3217,0.00311,0.13425762934934607,0.9,9e-07
46.0,46.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.933,0.00355,0.13106029448054618,0.925,9.25e-07
47.0,47.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.593,0.00343,0.12826355186312413,0.95,9.499999999999999e-07
48.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.2679,0.00385,0.1255893723780538,0.975,9.75e-07
49.0,49.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.1018,0.00469,0.12422308135230732,1.0,1e-06
50.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.9398,0.00621,0.12289051575224151,1.01,1.0099999999999999e-06
51.0,51.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0572,0.00686,0.12385621452661019,1.02,1.02e-06
52.0,52.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.9073,0.00693,0.12262318006087028,1.03,1.0299999999999999e-06
53.0,53.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.8407,0.00527,0.12207534753639879,1.04,1.04e-06
54.0,54.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.8753,0.0062,0.12235995722628938,1.05,1.05e-06
55.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.7546,0.00646,0.12136711359710456,1.06,1.06e-06
56.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.731,0.00637,0.12117298675660114,1.07,1.07e-06
57.0,57.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.532,0.00607,0.11953606975405118,1.08,1.08e-06
58.0,58.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.4704,0.00689,0.11902936579748294,1.09,1.09e-06
59.0,59.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.3983,0.0064,0.11843629184831786,1.1,1.1e-06
60.0,60.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.6242,0.00639,0.1202944805461874,1.11,1.11e-06
61.0,61.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.4562,0.00612,0.11891256066463766,1.12,1.12e-06
62.0,62.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.425,0.00614,0.1186559184009213,1.13,1.1299999999999998e-06
63.0,63.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.5843,0.00606,0.11996627457431934,1.14,1.1399999999999999e-06
64.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.4844,0.00657,0.11914452578761209,1.15,1.1499999999999998e-06
