Fuel,U-235,Xe-135,Efficiency,Poison Fraction
0.331135,0.146823,0.000808945,0.01,0.005509661292849213
0.33692,0.144789,0.000797707,0.02,0.005509444778263543
0.339859,0.14319,0.0008002,0.03,0.00558837907675117
0.342444,0.141685,0.000802477,0.04,0.005663810565691499
0.344371,0.140321,0.000807021,0.05,0.005751248922114295
0.346682,0.138945,0.000810155,0.06,0.005830760372809385
0.348571,0.137661,0.00081524,0.07,0.00592208395987244
0.351104,0.136369,0.00081791,0.08,0.00599777075435033
0.352966,0.135137,0.000822859,0.09,0.006089072570798523
0.354887,0.133841,0.000828458,0.1,0.0061898670810887554
