Fuel,U-233,Xe-135,Efficiency,Poison Fraction
0.465479,0.0566541,0.00243074,0.04,0.042904926563126056
0.472518,0.0559384,0.00233741,1.0,0.04178542825679676
0.481435,0.054518,0.00220257,5.0,0.04040078506181445
0.490323,0.0527433,0.00207581,7.0,0.03935684722040524
0.494778,0.0517346,0.00201374,8.0,0.03892443355124037
0.497057,0.0511141,0.00197326,10.0,0.03860500331611043
0.497517,0.0508618,0.00194703,15.0,0.03828079226452859
0.491896,0.0514222,0.00193775,25.0,0.03768314074465892
