Burnup (GWd/MTIHM),Off-gas Eff: 0,Off-gas Eff: 5,Off-gas Eff: 10,Off-gas Eff: 15,Off-gas Eff: 20,Off-gas Eff: 40,Off-gas Eff: 60,Off-gas Eff: 80,Off-gas Eff: 100,Eff: 0 pcm,Eff: 5 pcm,Eff: 10 pcm,Eff: 15 pcm,Eff: 20 pcm,Eff: 40 pcm,Eff: 60 pcm,Eff: 80 pcm,Eff: 100 pcm,5-0,10-0,15-0,20-0,40-0,60-0,80-0,100-0,10-5,15-5,20-5,40-5,60-5,80-5,100-5
0.0,1.22066046,1.22066046,1.22066046,1.22066046,1.22066046,1.22066046,1.22066046,1.22066046,1.22066046,18077.13670024177,18077.13670024177,18077.13670024177,18077.13670024177,18077.13670024177,18077.13670024177,18077.13670024177,18077.13670024177,18077.13670024177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.93,1.18784812,1.19892506,1.19959226,1.19983583,1.19996069,1.20015336,1.20021924,1.20025255,1.20027302,15814.153075394854,16591.951126620046,16638.34176455923,16655.26441229881,16663.936716126922,16677.315305770593,16681.888885567274,16684.201170828594,16685.622076217292,777.7980512251925,824.1886891643771,841.1113369039558,849.7836407320683,863.1622303757395,867.7358101724203,870.04809543374,871.4690008224388,46.39063793918467,63.31328567876335,71.98558950687584,85.36417915054699,89.93775894722785,92.25004420854748,93.67094959724636
2.995,1.16293482,1.17476923,1.1754043,1.1756337,1.17575226,1.17593442,1.17599683,1.17602835,1.17604735,14010.657966196251,14876.898844209607,14922.890787450757,14939.491782176703,14948.069077069014,14961.244182307371,14965.757178103966,14968.036272254829,14969.41003268278,866.2408780133555,912.2328212545053,928.8338159804516,937.411110872763,950.5862161111199,955.0992119077146,957.3783060585774,958.7520664865278,45.991943241149784,62.59293796709608,71.1702328594074,84.3453380977644,88.85833389435902,91.1374280452219,92.5111884731723
5.267,1.13395722,1.14639218,1.14697612,1.14718919,1.14729883,1.14746675,1.1475244,1.14755367,1.14757364,11813.251649828562,12769.816695714035,12814.2266815459,12830.419889155333,12838.750127549594,12851.505283268554,12855.88350016784,12858.106235676103,12859.62267310358,956.5650458854725,1000.9750317173384,1017.1682393267711,1025.498477721032,1038.253633439992,1042.6318503392777,1044.8545858475409,1046.3710232750182,44.409985831865924,60.60319344129857,68.93343183555953,81.68858755451947,86.06680445380516,88.28953996206837,89.80597738954566
7.539,1.10653164,1.11955693,1.12011537,1.12032113,1.12042468,1.12058269,1.12063606,1.12066335,1.12067968,9627.527686420248,10678.950466592165,10723.481992752224,10739.878663182939,10748.128111565693,10760.713249996748,10764.963247747002,10767.13626799699,10768.436525948258,1051.422780171917,1095.954306331976,1112.350976762691,1120.6004251454451,1133.1855635765005,1137.4355613267544,1139.608581576742,1140.9088395280105,44.531526160059,60.92819659077395,69.177644973528,81.76278340458339,86.01278115483728,88.18580140482482,89.48605935609339
9.812000000000001,1.08168048,1.09530561,1.09582864,1.09601587,1.09611391,1.09626336,1.09631445,1.09634,1.09635557,7551.257650503219,8701.280184258349,8744.856312570908,8760.445229684494,8768.605992784083,8781.043270478365,8785.294219190484,8787.419960961024,8788.715325266241,1150.0225337551292,1193.5986620676886,1209.1875791812745,1217.348342280864,1229.785619975146,1234.0365686872647,1236.1623104578048,1237.4576747630217,43.576128312559376,59.1650454261453,67.32580852573483,79.7630862200167,84.01403493213547,86.13977670267559,87.43514100789253
12.084000000000001,1.0594676,1.07365646,1.07415521,1.07433298,1.07442534,1.07456776,1.07461617,1.07464045,1.07465534,5612.970137076401,6860.337803025004,6903.584259485185,6918.988933952311,6926.990385390566,6939.3260039739225,6943.518261036412,6945.620742267795,6946.910066998789,1247.3676659486027,1290.6141224087833,1306.0187968759092,1314.0202483141647,1326.355866897521,1330.5481239600103,1332.6506051913939,1333.9399299223878,43.246456460180525,58.65113092730644,66.65258236556201,78.98820094891835,83.18045801140761,85.28293924279114,86.57226397378508
14.356,1.03975764,1.05440451,1.05488009,1.05505066,1.05513924,1.05527457,1.05532108,1.05534438,1.05535858,3823.741078738304,5159.737983290674,5202.495574639193,5217.821483567436,5225.778542744741,5237.932531625387,5242.108875528187,5244.2009498359175,5245.475902607438,1335.9969045523694,1378.7544959008892,1394.080404829132,1402.0374640064365,1414.191452887083,1418.367796789883,1420.4598710976134,1421.7348238691338,42.75759134851978,58.08350027676261,66.04055945406708,78.19454833471355,82.37089223751354,84.46296654524394,85.73791931676442
16.628,1.02193485,1.03714702,1.0376006,1.03776393,1.0378479,1.03797683,1.0380216,1.03804365,1.038057,2146.4039512890727,3581.6542190903583,3623.802838972914,3638.9711482841667,3646.7675080327326,3658.73581205084,3662.8910226916273,3664.9374041255483,3666.1763275041744,1435.2502678012856,1477.3988876838412,1492.567196995094,1500.36355674366,1512.3318607617675,1516.4870714025546,1518.5334528364756,1519.7723762151018,42.14861988255552,57.31692919380839,65.11328894237431,77.08159296048188,81.236803601269,83.28318503518994,84.52210841381611
18.9,1.0057221,1.02136029,1.02180046,1.02195744,1.02203917,1.02216419,1.02220677,1.02222809,1.02224122,568.9543861072619,2091.3570078194502,2133.5339778570774,2148.5669696773275,2156.391912063409,2168.3590774198447,2172.434252220804,2174.474583260575,2175.7310862498725,1522.4026217121882,1564.5795917498153,1579.6125835700655,1587.437525956147,1599.4046913125826,1603.479866113542,1605.520197153313,1606.7767001426105,42.17697003762714,57.20996185787726,65.03490424395886,77.0020696003944,81.07724440135371,83.1175754411247,84.37407843042229
21.171999999999997,0.99091074,1.0070239,1.00744682,1.00759829,1.00767661,1.00779683,1.00783821,1.00785886,1.0078714,-917.2632441141961,697.4908937116668,739.1774783705174,754.0991360753508,761.8128597824737,773.6509748696051,777.7250279090001,779.7579911139565,780.9924956695837,1614.754137825863,1656.4407224847137,1671.362380189547,1679.0761038966698,1690.9142189838012,1694.9882720231963,1697.0212352281526,1698.25573978378,41.68658465885062,56.608242363683985,64.32196607080687,76.1600811579383,80.23413419733333,82.26709740228966,83.50160195791693
