Efficiency,Day,Improvement
0,572.5,0
5,609.1611436,0.064036932
10,633.9450065,0.107327522
12,639.122211,0.116370674
15,644.677105,0.126073546
20,650.6621049,0.136527694
40,660.5551955,0.153808202
60,664.1121432,0.160021211
80,665.9449267,0.163222579
100,667.0680813,0.165184421
