Efficiency,Day,Improvement
0,572.5,0
5,606.9608169,0.060193567
10,615.2109628,0.074604302
12,616.7702864,0.077328011
15,618.3768781,0.080134285
20,620.0557177,0.083066756
40,622.6927075,0.087672852
60,623.6167536,0.089286906
80,624.083721,0.090102569
100,624.3671917,0.090597715
