Efficiency,Day,Improvement
0,572.5,0
5,580.1475579,0.01335818
10,587.8225669,0.026764309
12,589.3043917,0.029352649
15,590.8747223,0.032095585
20,592.5369053,0.034998961
40,595.1590342,0.039579099
60,596.0830591,0.041193116
80,596.5565931,0.04202025
100,596.8413831,0.0425177
