Fuel,U-233,Xe-135,Efficiency,Poison Fraction
0.450449,0.0588814,0.00227481,0.01,0.038633762104841256
0.476303,0.0554036,0.00238043,0.02,0.04296525857525504
0.4914,0.0532562,0.00247648,0.03,0.04650125243633606
0.505016,0.0513446,0.00255032,0.04,0.049670656700022985
0.517403,0.0495653,0.00261044,0.05,0.05266668415201764
0.528128,0.0479959,0.0026621,0.06,0.05546515431526443
0.53771,0.0465403,0.0026998,0.07,0.05800993977262717
0.545514,0.0453459,0.00273013,0.08,0.060206766212601355
0.552453,0.0442918,0.00275025,0.09,0.06209388645302291
0.557997,0.0433773,0.00276065,0.1,0.06364273479446622
