Fuel,U-233,Xe-135,Efficiency,Poison Fraction
0.488576,0.0535086,0.0134798,0.0,0.25191838321316573
0.48273,0.0540475,0.00367109,0.05,0.06792340071233638
0.481878,0.054183,0.00212429,0.1,0.039205839469944444
0.481806,0.0541474,0.00181869,0.12,0.03358776229329571
0.481854,0.0541054,0.00149468,0.15,0.027625338690777632
0.481367,0.0542025,0.00115397,0.2,0.02128997739956644
0.481184,0.0542148,0.00060292,0.4,0.011120948523281465
0.481138,0.054202,0.000408078,0.6,0.007528836574296151
0.481052,0.0542747,0.000307883,0.8,0.005672679904264786
0.481025,0.0542365,0.000247926,1.0,0.004571202050279793
