Upper Energy (eV),Group No,Upper Energy (MeV),,LethargyW,Total_Flux,Flux,Upper Energy (MeV),,,,,,,,,,Upper Energy (MeV),Flux
0.7,212,7.00E-07,17.16791778,0.074107972,0.00159141,2.15E-02,7.00E-07,,,,,,,,,,0.27,2.93E-04
0.65,213,6.50E-07,17.24202575,0.039220713,0.000941911,2.40E-02,6.50E-07,,,,,,,,,,0.33,2.46E-04
0.625,214,6.25E-07,17.28124646,0.040821995,0.00107273,2.63E-02,6.25E-07,,,,,,,,,,0.4,2.87E-04
0.6,215,6.00E-07,17.32206846,0.087011377,0.00266102,3.06E-02,6.00E-07,,,,,,,,,,0.42,3.01E-04
0.55,216,5.50E-07,17.40907983,0.09531018,0.00363893,3.82E-02,5.50E-07,,,,,,,,,,0.44,2.89E-04
0.5,217,5.00E-07,17.50439001,0.105360516,0.00512884,4.87E-02,5.00E-07,,,,,,,,,,0.47,3.40E-04
0.45,218,4.50E-07,17.60975053,0.117783036,0.00741771,6.30E-02,4.50E-07,,,,,,,,,,0.492,3.76E-04
0.4,219,4.00E-07,17.72753356,0.064538521,0.00494409,7.66E-02,4.00E-07,,,,,,,,,,0.55,3.63E-04
0.375,220,3.75E-07,17.79207208,0.068992871,0.00606256,8.79E-02,3.75E-07,,,,,,,,,,0.573,3.89E-04
0.35,221,3.50E-07,17.86106496,0.074107972,0.00745863,1.01E-01,3.50E-07,,,,,,,,,,0.6,3.79E-04
0.325,222,3.25E-07,17.93517293,0.080042708,0.00918995,1.15E-01,3.25E-07,,,,,,,,,,0.67,3.84E-04
0.3,223,3.00E-07,18.01521564,0.087011377,0.0113493,1.30E-01,3.00E-07,,,,,,,,,,0.679,4.13E-04
0.275,224,2.75E-07,18.10222701,0.09531018,0.0140129,1.47E-01,2.75E-07,,,,,,,,,,0.75,4.20E-04
0.25,225,2.50E-07,18.19753719,0.105360516,0.017232,1.64E-01,2.50E-07,,,,,,,,,,0.82,4.20E-04
0.225,226,2.25E-07,18.30289771,0.117783036,0.0210054,1.78E-01,2.25E-07,,,,,,,,,,0.8611,4.14E-04
0.2,227,2.00E-07,18.42068074,0.133531393,0.0251945,1.89E-01,2.00E-07,,,,,,,,,,0.875,4.12E-04
0.175,228,1.75E-07,18.55421214,0.15415068,0.0297075,1.93E-01,1.75E-07,,,,,,,,,,0.9,4.15E-04
0.15,229,1.50E-07,18.70836282,0.182321557,0.0350875,1.92E-01,1.50E-07,,,,,,,,,,0.92,4.08E-04
0.125,230,1.25E-07,18.89068437,0.223143551,0.0421423,1.89E-01,1.25E-07,,,,,,,,,,1.01,4.17E-04
0.1,231,1.00E-07,19.11382792,0.105360516,0.0190224,1.81E-01,1.00E-07,,,,,,,,,,1.1,4.38E-04
0.09,232,9.00E-08,19.21918844,0.117783036,0.020121,1.71E-01,9.00E-08,,,,,,,,,,1.2,4.40E-04
0.08,233,8.00E-08,19.33697148,0.133531393,0.0209973,1.57E-01,8.00E-08,,,,,,,,,,1.25,4.57E-04
0.07,234,7.00E-08,19.47050287,0.15415068,0.0216838,1.41E-01,7.00E-08,,,,,,,,,,1.317,5.51E-04
0.06,235,6.00E-08,19.62465355,0.182321557,0.0221041,1.21E-01,6.00E-08,,,,,,,,,,1.356,7.59E-04
0.05,236,5.00E-08,19.80697511,0.223143551,0.022038,9.88E-02,5.00E-08,,,,,,,,,,1.4,9.04E-04
0.04,237,4.00E-08,20.03011866,0.287682072,0.021215,7.37E-02,4.00E-08,,,,,,,,,,1.5,9.99E-04
0.03,238,3.00E-08,20.31780073,0.170392986,0.00946287,5.55E-02,3.00E-08,,,,,,,,,,1.85,1.22E-03
0.0253,239,2.53E-08,20.48819371,0.928219303,0.0258484,2.78E-02,2.53E-08,,,,,,,,,,2.354,1.37E-03
0.01,240,1.00E-08,21.41641302,0.287682072,0.00310516,1.08E-02,1.00E-08,,,,,,,,,,2.479,1.13E-03
0.0075,241,7.50E-09,21.70409509,0.405465108,0.0026203,6.46E-03,7.50E-09,,,,,,,,,,3,1.02E-03
0.005,242,5.00E-09,22.1095602,0.223143551,0.000888767,3.98E-03,5.00E-09,,,,,,,,,,4.304,7.24E-04
0.004,243,4.00E-09,22.33270375,0.287682072,0.000763516,2.65E-03,4.00E-09,,,,,,,,,,4.8,5.08E-04
0.003,244,3.00E-09,22.62038582,0.182321557,0.000326266,1.79E-03,3.00E-09,,,,,,,,,,6.434,3.32E-04
0.0025,245,2.50E-09,22.80270738,0.223143551,0.000284467,1.27E-03,2.50E-09,,,,,,,,,,8.187,2.71E-04
0.002,246,2.00E-09,23.02585093,0.287682072,0.000247217,8.59E-04,2.00E-09,,,,,,,,,,10,7.83E-05
0.0015,247,1.50E-09,23.313533,0.223143551,0.000122899,5.51E-04,1.50E-09,,,,,,,,,,12.84,1.78E-05
0.0012,248,1.20E-09,23.53667655,0.182321557,6.84E-05,3.75E-04,1.20E-09,,,,,,,,,,13.84,3.69E-06
0.001,249,1.00E-09,23.71899811,0.287682072,7.04E-05,2.45E-04,1.00E-09,,,,,,,,,,14.55,2.17E-06
0.00075,250,7.50E-10,24.00668018,0.405465108,5.41E-05,1.34E-04,7.50E-10,,,,,,,,,,15.68,1.22E-06
0.0005,251,5.00E-10,24.41214529,1.609437912,4.45E-05,2.76E-05,5.00E-10,,,,,,,,,,17.33,1.96E-07
0.0001,252,1.00E-10,26.0215832,2.302585093,1.60E-06,6.96E-07,1.00E-10,,,,,,,,,,20,1.67E-23
0.00001,253,1.00E-11,28.3241683,,,,1.00E-11,,,,,,,,,,,
