Upper Energy (eV),Group No,Upper Energy (MeV),,LethargyW,Total_Flux,Flux,Upper Energy (MeV),,,,,,,,,,Upper Energy (MeV),Flux
950,71,0.00095,9.954780847,0.329967125,0.000506639,1.54E-03,0.00095,,,,,,,,,,1.40E-06,3.09E-02
683,72,0.000683,10.28474797,0.019217147,3.31E-05,1.72E-03,0.000683,,,,,,,,,,1.45E-06,3.42E-02
670,73,0.00067,10.30396512,0.197359434,0.000306857,1.55E-03,0.00067,,,,,,,,,,1.50E-06,3.75E-02
550,74,0.00055,10.50132455,0.589606502,0.00105555,1.79E-03,0.00055,,,,,,,,,,1.59E-06,4.26E-02
305,75,0.000305,11.09093105,0.067822596,0.000203138,3.00E-03,0.000305,,,,,,,,,,1.68E-06,5.45E-02
285,76,0.000285,11.15875365,0.171850257,0.000392872,2.29E-03,0.000285,,,,,,,,,,1.77E-06,7.52E-02
240,77,0.00024,11.33060391,0.087011377,0.000203449,2.34E-03,0.00024,,,,,,,,,,1.86E-06,7.74E-02
220,78,0.00022,11.41761529,0.048903807,0.000176874,3.62E-03,0.00022,,,,,,,,,,1.94E-06,5.61E-02
209.5,79,0.0002095,11.46651909,0.010074444,5.36E-05,5.32E-03,0.0002095,,,,,,,,,,2.00E-06,4.03E-02
207.4,80,0.0002074,11.47659354,0.026381598,8.14E-05,3.09E-03,0.0002074,,,,,,,,,,2.12E-06,3.07E-02
202,81,0.000202,11.50297513,0.045577508,0.000116473,2.56E-03,0.000202,,,,,,,,,,2.21E-06,3.25E-02
193,82,0.000193,11.54855264,0.00780238,2.21E-05,2.84E-03,0.000193,,,,,,,,,,2.30E-06,5.10E-02
191.5,83,0.0001915,11.55635502,0.015789802,8.07E-05,5.11E-03,0.0001915,,,,,,,,,,2.38E-06,4.06E-02
188.5,84,0.0001885,11.57214482,0.004253063,1.49E-05,3.51E-03,0.0001885,,,,,,,,,,2.47E-06,1.32E-02
187.7,85,0.0001877,11.57639789,0.041888093,4.80E-05,1.15E-03,0.0001877,,,,,,,,,,2.57E-06,6.30E-03
180,86,0.00018,11.61828598,0.057158414,9.59E-05,1.68E-03,0.00018,,,,,,,,,,2.67E-06,5.33E-03
170,87,0.00017,11.67544439,0.172953807,0.000471182,2.72E-03,0.00017,,,,,,,,,,2.77E-06,5.21E-03
143,88,0.000143,11.8483982,0.158823586,0.000425608,2.68E-03,0.000143,,,,,,,,,,2.87E-06,5.37E-03
122,89,0.000122,12.00722179,0.024897552,6.43E-05,2.58E-03,0.000122,,,,,,,,,,2.97E-06,5.85E-03
119,90,0.000119,12.03211934,0.01268516,0.000102857,8.11E-03,0.000119,,,,,,,,,,3.00E-06,6.66E-03
117.5,91,0.0001175,12.0448045,0.012848142,2.02E-05,1.57E-03,0.0001175,,,,,,,,,,3.10E-06,6.93E-03
116,92,0.000116,12.05765264,0.026202372,0.000119766,4.57E-03,0.000116,,,,,,,,,,3.20E-06,7.51E-03
113,93,0.000113,12.08385501,0.045256592,0.000249649,5.52E-03,0.000113,,,,,,,,,,3.50E-06,1.05E-02
108,94,0.000108,12.1291116,0.028170877,0.000180893,6.42E-03,0.000108,,,,,,,,,,3.73E-06,1.75E-02
105,95,0.000105,12.15728248,0.036861593,5.46E-05,1.48E-03,0.000105,,,,,,,,,,4.10E-06,7.91E-03
101.2,96,0.0001012,12.19414407,0.042387778,0.00025015,5.90E-03,0.0001012,,,,,,,,,,4.70E-06,9.22E-03
97,97,9.70E-05,12.23653185,0.074901308,0.000348598,4.65E-03,9.70E-05,,,,,,,,,,5.00E-06,1.20E-02
90,98,9.00E-05,12.31143316,0.096755668,0.000270572,2.80E-03,9.00E-05,,,,,,,,,,5.40E-06,7.94E-03
81.7,99,8.17E-05,12.40818883,0.021027367,6.75E-05,3.21E-03,8.17E-05,,,,,,,,,,6.00E-06,8.76E-03
80,100,8.00E-05,12.4292162,0.051293294,0.000203474,3.97E-03,8.00E-05,,,,,,,,,,6.25E-06,1.08E-02
76,101,7.60E-05,12.48050949,0.054067221,0.000394507,7.30E-03,7.60E-05,,,,,,,,,,6.50E-06,1.23E-02
72,102,7.20E-05,12.53457671,0.064538521,0.000174624,2.71E-03,7.20E-05,,,,,,,,,,6.75E-06,2.83E-02
67.5,103,6.75E-05,12.59911523,0.037740328,9.72E-05,2.58E-03,6.75E-05,,,,,,,,,,6.88E-06,5.66E-02
65,104,6.50E-05,12.63685556,0.031252544,0.000137486,4.40E-03,6.50E-05,,,,,,,,,,7.00E-06,3.67E-02
63,105,6.30E-05,12.66810811,0.032260862,0.000167223,5.18E-03,6.30E-05,,,,,,,,,,7.15E-06,1.21E-02
61,106,6.10E-05,12.70036897,0.050430854,0.000166249,3.30E-03,6.10E-05,,,,,,,,,,8.10E-06,3.82E-03
58,107,5.80E-05,12.75079982,0.082632265,0.000655962,7.94E-03,5.80E-05,,,,,,,,,,9.10E-06,3.40E-03
53.4,108,5.34E-05,12.83343209,0.05385917,0.000113858,2.11E-03,5.34E-05,,,,,,,,,,1.00E-05,7.31E-03
50.6,109,5.06E-05,12.88729126,0.046520016,0.000215765,4.64E-03,5.06E-05,,,,,,,,,,1.15E-05,2.01E-02
48.3,110,4.83E-05,12.93381127,0.066334474,0.000151932,2.29E-03,4.83E-05,,,,,,,,,,1.19E-05,5.89E-03
45.2,111,4.52E-05,13.00014574,0.026907453,4.18E-05,1.55E-03,4.52E-05,,,,,,,,,,1.29E-05,1.55E-02
44,112,4.40E-05,13.0270532,0.037041272,0.00012791,3.45E-03,4.40E-05,,,,,,,,,,1.44E-05,8.92E-03
42.4,113,4.24E-05,13.06409447,0.033576296,8.35E-05,2.49E-03,4.24E-05,,,,,,,,,,1.60E-05,7.80E-03
41,114,4.10E-05,13.09767076,0.034742948,0.000170692,4.91E-03,4.10E-05,,,,,,,,,,1.70E-05,1.37E-02
39.6,115,3.96E-05,13.13241371,0.012706651,5.94E-05,4.68E-03,3.96E-05,,,,,,,,,,1.85E-05,4.48E-03
39.1,116,3.91E-05,13.14512036,0.028536307,5.19E-05,1.82E-03,3.91E-05,,,,,,,,,,1.94E-05,1.66E-02
38,117,3.80E-05,13.17365667,0.009784555,3.79E-05,3.87E-03,3.80E-05,,,,,,,,,,2.00E-05,5.11E-03
37.63,118,3.76E-05,13.18344123,0.009612891,5.24E-05,5.45E-03,3.76E-05,,,,,,,,,,2.05E-05,6.57E-03
37.27,119,3.73E-05,13.19305412,0.003763445,1.49E-05,3.95E-03,3.73E-05,,,,,,,,,,2.12E-05,9.24E-03
37.13,120,3.71E-05,13.19681756,0.003507356,1.27E-05,3.61E-03,3.71E-05,,,,,,,,,,2.18E-05,5.53E-03
37,121,3.70E-05,13.20032492,0.027398974,0.000170497,6.22E-03,3.70E-05,,,,,,,,,,2.25E-05,2.16E-02
36,122,3.60E-05,13.22772389,0.013986242,7.21E-05,5.16E-03,3.60E-05,,,,,,,,,,2.50E-05,7.97E-03
35.5,123,3.55E-05,13.24171014,0.014184635,8.96E-05,6.32E-03,3.55E-05,,,,,,,,,,2.75E-05,7.03E-03
35,124,3.50E-05,13.25589477,0.036367644,0.000346752,9.53E-03,3.50E-05,,,,,,,,,,3.00E-05,7.29E-03
33.75,125,3.38E-05,13.29226241,0.01492565,0.000112446,7.53E-03,3.38E-05,,,,,,,,,,3.13E-05,5.57E-03
33.25,126,3.33E-05,13.30718806,0.046162042,0.000355025,7.69E-03,3.33E-05,,,,,,,,,,3.18E-05,6.86E-03
31.75,127,3.18E-05,13.35335011,0.015873349,0.000108838,6.86E-03,3.18E-05,,,,,,,,,,3.33E-05,7.69E-03
31.25,128,3.13E-05,13.36922346,0.040821995,0.000227383,5.57E-03,3.13E-05,,,,,,,,,,3.38E-05,7.53E-03
