Group No,Upper Energy (eV),Critical Flux,Inf. Med. Flux.,Critical Adj. Flux,Inf. Med. Adj. Flux,E_norm,E_Reverse,C_Reverse,Energy (MeV)
40,330000.0,0.0031309999999999997,0.0031309999999999997,0.0006215,0.0006215,0.12513988808952836,0.2006394884092726,0.00502,6.5e-07
41,270000.0,0.003106,0.003106,0.0004156000000000001,0.0004156000000000001,0.12414068745003996,0.18277378097521982,0.004573,7e-07
42,200000.0,0.0032890000000000003,0.0032890000000000003,0.00042380000000000006,0.00042380000000000006,0.13145483613109513,0.16466826538768986,0.00412,7.5e-07
43,149000.0,0.003304,0.003304,0.0008343,0.0008343,0.13205435651478817,0.15191846522781774,0.0038009999999999997,8e-07
44,128300.0,0.003141,0.003141,0.0005009,0.0005009,0.12553956834532373,0.14312549960031976,0.0035810000000000004,8.499999999999999e-07
45,100000.0,0.003091,0.003091,0.0007682,0.0007682,0.12354116706634692,0.13677058353317345,0.0034219999999999997,9e-07
46,85000.0,0.003443,0.003443,0.003475,0.003475,0.1376099120703437,0.1330935251798561,0.0033299999999999996,9.25e-07
47,82000.0,0.003421,0.003421,0.001399,0.001399,0.1367306155075939,0.13101518784972022,0.003278,9.499999999999999e-07
48,75000.0,0.003346,0.003346,0.00462,0.00462,0.1337330135891287,0.12921662669864106,0.0032329999999999998,9.75e-07
49,73000.0,0.0033179999999999998,0.0033179999999999998,0.0006369,0.0006369,0.13261390887290167,0.12765787370103918,0.0031940000000000002,1e-06
50,60000.0,0.003268,0.003268,0.0008731,0.0008731,0.13061550759392487,0.12665867306155076,0.003169,1.0099999999999999e-06
51,52000.0,0.003078,0.003078,0.003186,0.003186,0.12302158273381295,0.12613908872901677,0.003156,1.02e-06
52,50000.0,0.002993,0.002993,0.001186,0.001186,0.11962430055955235,0.12565947242206235,0.003144,1.0299999999999999e-06
53,45000.0,0.003235,0.003235,0.0003083,0.0003083,0.12929656274980017,0.12521982414068744,0.003133,1.04e-06
54,30000.0,0.003189,0.003189,0.00030869999999999997,0.00030869999999999997,0.12745803357314148,0.12482014388489208,0.003123,1.05e-06
55,20000.0,0.003187,0.003187,0.000771,0.000771,0.12737809752198243,0.12442046362909671,0.003113,1.06e-06
56,17000.0,0.003167,0.003167,0.0004673999999999999,0.0004673999999999999,0.12657873701039168,0.1240607513988809,0.003104,1.07e-06
57,13000.0,0.003154,0.003154,0.0004001,0.0004001,0.12605915267785772,0.12370103916866507,0.003095,1.08e-06
58,9500.0,0.003145,0.003145,0.0007472000000000001,0.0007472000000000001,0.12569944044764186,0.12334132693844922,0.0030859999999999998,1.09e-06
59,8030.0,0.003135,0.003135,0.0003669,0.0003669,0.12529976019184652,0.12302158273381295,0.003078,1.1e-06
60,5700.0,0.003123,0.003123,0.0003318,0.0003318,0.12482014388489208,0.12270183852917665,0.00307,1.11e-06
61,3900.0,0.00312,0.00312,0.003011,0.003011,0.12470023980815347,0.12238209432454036,0.003062,1.12e-06
62,3740.0,0.003112,0.003112,0.0005723,0.0005723,0.12438049560351719,0.12210231814548361,0.003055,1.1299999999999998e-06
63,3000.0,0.0031030000000000003,0.0031030000000000003,0.0006929,0.0006929,0.12402078337330137,0.12182254196642685,0.003048,1.1399999999999999e-06
64,2500.0,0.0031030000000000003,0.0031030000000000003,0.0012,0.0012,0.12402078337330137,0.1215427657873701,0.003041,1.1499999999999998e-06
65,2250.0,0.003094,0.003094,0.005629,0.005629,0.12366107114308553,0.1211031175059952,0.00303,1.175e-06
66,2200.0,0.003092,0.003092,0.0006307999999999999,0.0006307999999999999,0.12358113509192646,0.12050359712230214,0.003015,1.2e-06
67,1800.0,0.003088,0.003088,0.0008478,0.0008478,0.12342126298960832,0.11994404476418866,0.003001,1.2250000000000001e-06
68,1550.0,0.0030789999999999997,0.0030789999999999997,0.003868,0.003868,0.12306155075939247,0.11942446043165467,0.0029879999999999998,1.2499999999999999e-06
69,1500.0,0.003078,0.003078,0.000478,0.000478,0.12302158273381295,0.11874500399680256,0.002971,1.3e-06
70,1150.0,0.003069,0.003069,0.000666,0.000666,0.12266187050359713,0.11798561151079136,0.0029519999999999998,1.35e-06
71,950.0,0.003057,0.003057,0.0003864,0.0003864,0.12218225419664268,0.11734612310151878,0.002936,1.4e-06
72,683.0,0.003018,0.003018,0.006642,0.006642,0.12062350119904076,0.11678657074340526,0.0029219999999999997,1.4499999999999999e-06
73,670.0,0.003047,0.003047,0.0006481,0.0006481,0.12178257394084731,0.11626698641087131,0.002909,1.5e-06
74,550.0,0.003023,0.003023,0.00021749999999999997,0.00021749999999999997,0.12082334132693845,0.11562749800159873,0.002893,1.59e-06
75,305.0,0.002989,0.002989,0.0019039999999999999,0.0019039999999999999,0.1194644284572342,0.11466826538768984,0.002869,1.6799999999999998e-06
76,285.0,0.0029920000000000003,0.0029920000000000003,0.0007535,0.0007535,0.11958433253397283,0.11346922462030375,0.002839,1.77e-06
77,240.0,0.002966,0.002966,0.001492,0.001492,0.11854516386890487,0.11286970423661069,0.0028239999999999997,1.86e-06
78,220.0,0.003001,0.003001,0.002669,0.002669,0.11994404476418866,0.11310951239008793,0.00283,1.94e-06
79,209.5,0.0029809999999999997,0.0029809999999999997,0.01296,0.01296,0.1191446842525979,0.11346922462030375,0.002839,2e-06
80,207.4,0.00298,0.00298,0.004949,0.004949,0.11910471622701839,0.11243005595523581,0.002813,2.12e-06
81,202.0,0.002933,0.002933,0.002839,0.002839,0.11722621902478017,0.11183053557154277,0.002798,2.21e-06
82,193.0,0.002815,0.002815,0.0162,0.0162,0.11250999200639487,0.1107913669064748,0.0027719999999999997,2.2999999999999996e-06
83,191.5,0.0030039999999999997,0.0030039999999999997,0.008298999999999999,0.008298999999999999,0.12006394884092725,0.11095123900879297,0.0027760000000000003,2.3799999999999997e-06
84,188.5,0.002966,0.002966,0.03082,0.03082,0.11854516386890487,0.11211031175059953,0.002805,2.47e-06
85,187.7,0.002971,0.002971,0.003128,0.003128,0.11874500399680256,0.1123101518784972,0.00281,2.5699999999999995e-06
86,180.0,0.002909,0.002909,0.002282,0.002282,0.11626698641087131,0.11215027977617906,0.002806,2.67e-06
87,170.0,0.0029649999999999998,0.0029649999999999998,0.0007578999999999999,0.0007578999999999999,0.11850519584332533,0.11191047162270183,0.0028,2.7699999999999997e-06
88,143.0,0.00294,0.00294,0.0008275,0.0008275,0.11750599520383692,0.11167066346922462,0.002794,2.87e-06
89,122.0,0.002829,0.002829,0.005156,0.005156,0.11306954436450839,0.1136290967226219,0.002843,2.97e-06
90,119.0,0.002951,0.002951,0.010440000000000001,0.010440000000000001,0.11794564348521183,0.12074340527577938,0.0030210000000000002,3e-06
91,117.5,0.002932,0.002932,0.01031,0.01031,0.11718625099920064,0.11614708233413268,0.0029059999999999997,3.1e-06
92,116.0,0.002852,0.002852,0.004985,0.004985,0.11398880895283772,0.11003197442046364,0.0027530000000000002,3.2e-06
93,113.0,0.0029059999999999997,0.0029059999999999997,0.002911,0.002911,0.11614708233413268,0.10655475619504397,0.002666,3.5e-06
94,108.0,0.002916,0.002916,0.004718,0.004718,0.11654676258992806,0.10535571542765787,0.002636,3.73e-06
95,105.0,0.0029170000000000003,0.0029170000000000003,0.003604,0.003604,0.1165867306155076,0.11402877697841726,0.002853,4.1e-06
96,101.2,0.002911,0.002911,0.003134,0.003134,0.11634692246203038,0.11690647482014388,0.002925,4.7e-06
97,97.0,0.002911,0.002911,0.001771,0.001771,0.11634692246203038,0.11278976818545162,0.002822,4.9999999999999996e-06
98,90.0,0.002909,0.002909,0.001373,0.001373,0.11626698641087131,0.10611510791366907,0.0026550000000000002,5.4e-06
99,81.7,0.002909,0.002909,0.0063170000000000006,0.0063170000000000006,0.11626698641087131,0.10623501199040766,0.0026579999999999998,6e-06
100,80.0,0.002908,0.002908,0.002593,0.002593,0.11622701838529176,0.10635491606714627,0.0026609999999999997,6.2499999999999995e-06
101,76.0,0.0029010000000000004,0.0029010000000000004,0.002464,0.002464,0.11594724220623502,0.10639488409272582,0.0026620000000000003,6.5e-06
102,72.0,0.002817,0.002817,0.002025,0.002025,0.11258992805755395,0.10595523581135093,0.002651,6.75e-06
103,67.5,0.002882,0.002882,0.003554,0.003554,0.11518784972022382,0.10511590727418064,0.00263,6.874999999999999e-06
104,65.0,0.00288,0.00288,0.004297,0.004297,0.11510791366906475,0.10587529976019185,0.002649,7e-06
105,63.0,0.002877,0.002877,0.004164999999999999,0.004164999999999999,0.11498800959232613,0.10675459632294165,0.002671,7.15e-06
106,61.0,0.002785,0.002785,0.0026089999999999998,0.0026089999999999998,0.11131095123900879,0.10707434052757793,0.002679,8.099999999999999e-06
107,58.0,0.0028539999999999998,0.0028539999999999998,0.001634,0.001634,0.11406874500399679,0.107154276578737,0.002681,9.1e-06
108,53.4,0.002852,0.002852,0.0025050000000000003,0.0025050000000000003,0.11398880895283772,0.107154276578737,0.002681,9.999999999999999e-06
109,50.6,0.002848,0.002848,0.0029010000000000004,0.0029010000000000004,0.11382893685051958,0.10711430855315747,0.00268,1.15e-05
110,48.3,0.0028510000000000002,0.0028510000000000002,0.002034,0.002034,0.1139488409272582,0.10771382893685051,0.002695,1.19e-05
111,45.2,0.002849,0.002849,0.005014,0.005014,0.11386890487609912,0.1074740207833733,0.002689,1.29e-05
112,44.0,0.0028469999999999997,0.0028469999999999997,0.0036420000000000003,0.0036420000000000003,0.11378896882494004,0.10783373301358912,0.002698,1.44e-05
113,42.4,0.00285,0.00285,0.004016,0.004016,0.11390887290167866,0.10791366906474821,0.0027,1.6e-05
114,41.0,0.002848,0.002848,0.003882,0.003882,0.11382893685051958,0.10779376498800958,0.0026969999999999997,1.7e-05
115,39.6,0.002848,0.002848,0.01061,0.01061,0.11382893685051958,0.10811350919264588,0.002705,1.85e-05
116,39.1,0.00285,0.00285,0.004725,0.004725,0.11390887290167866,0.10807354116706634,0.002704,1.9399999999999997e-05
117,38.0,0.002848,0.002848,0.01379,0.01379,0.11382893685051958,0.10871302957633892,0.0027199999999999998,1.9999999999999998e-05
118,37.63,0.0028469999999999997,0.0028469999999999997,0.01404,0.01404,0.11378896882494004,0.10883293365307754,0.002723,2.05e-05
119,37.27,0.002848,0.002848,0.03585,0.03585,0.11382893685051958,0.10887290167865707,0.002724,2.1199999999999997e-05
120,37.13,0.002848,0.002848,0.03846,0.03846,0.11382893685051958,0.10375699440447643,0.0025960000000000002,2.175e-05
121,37.0,0.002846,0.002846,0.004926,0.004926,0.11374900079936051,0.10335731414868105,0.0025859999999999998,2.2499999999999998e-05
122,36.0,0.002846,0.002846,0.009653,0.009653,0.11374900079936051,0.10799360511590728,0.002702,2.4999999999999998e-05
123,35.5,0.002846,0.002846,0.009521,0.009521,0.11374900079936051,0.11334932054356514,0.002836,2.7499999999999998e-05
