Fuel,U-233,Xe-135,Efficiency,Poison Fraction
0.555327,0.0443454,0.0186497,0.0,0.4205554578377916
0.548545,0.0449519,0.00476984,0.05,0.10610986409918156
0.547339,0.0450543,0.00273836,0.1,0.06077910432522534
0.547046,0.0450625,0.00234102,0.12,0.05195051317614425
0.547004,0.045088,0.00191958,0.15,0.04257407735982966
0.546777,0.0450946,0.0014797,0.2,0.03281324149676458
0.546608,0.0451247,0.000769531,0.4,0.017053431934173524
0.546453,0.0451341,0.000519982,0.6,0.011520823501521022
0.54653,0.045071,0.000393189,0.8,0.008723769164207584
0.546459,0.0451504,0.000315313,1.0,0.006983614763102874
