Burnup (GWd/MTIHM),Off-gas Eff: 0,Off-gas Eff: 5,Off-gas Eff: 10,Off-gas Eff: 12,Off-gas Eff: 15,Off-gas Eff: 20,Off-gas Eff: 40,Off-gas Eff: 60,Off-gas Eff: 80,Off-gas Eff: 100,Eff: 0 pcm,Eff: 5 pcm,Eff: 10 pcm,Eff: 12 pcm,Eff: 15 pcm,Eff: 20 pcm,Eff: 40 pcm,Eff: 60 pcm,Eff: 80 pcm,Eff: 100 pcm,5-0,10-0,12-0,15-0,20-0,40-0,60-0,80-0,100-0,10-5,12-5,15-5,20-5,40-5,60-5,80-5,100-5
0.0,1.59549074,1.59549074,1.59549074,1.59549074,1.59549074,1.59549074,1.59549074,1.59549074,1.59549074,1.59549074,37323.35920671028,37323.35920671028,37323.35920671028,37323.35920671028,37323.35920671028,37323.35920671028,37323.35920671028,37323.35920671028,37323.35920671028,37323.35920671028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.032,1.59530148,1.59530163,1.59530177,1.5953018,1.59530189,1.59530199,1.59530251,1.59530291,1.59530323,1.5953035,37315.92350807573,37315.92940201534,37315.93490302465,37315.93608181224,37315.939618174714,37315.9435474659,37315.96397977209,37315.97969692163,37315.9922706356,37316.00287970283,0.005893939611269161,0.011394948924134951,0.01257373650878435,0.016110098986246157,0.02003939016867662,0.04047169636032777,0.05618884590512607,0.06876255987299373,0.07937162710004486,0.00550100931286579,0.006679796897515189,0.010216159374976996,0.014145450557407457,0.03457775674905861,0.05029490629385691,0.06286862026172457,0.0734776874887757
0.7959999999999999,1.59126027,1.59126753,1.59127296,1.59127505,1.59127752,1.59128154,1.59129084,1.59129749,1.59130176,1.59130483,37156.729238265965,37157.015954444825,37157.23039748001,37157.312935937756,37157.41048110829,37157.56923818773,37157.93650895396,37158.19912466525,37158.36775043848,37158.48898667642,0.2867161788599333,0.5011592140435823,0.5836976717910147,0.681242842321808,0.8399999217654113,1.207270687991695,1.4698863992816769,1.6385121725179488,1.7597484104553587,0.21444303518364904,0.29698149293108145,0.3945266634618747,0.553283742905478,0.9205545091317617,1.1831702204217436,1.3517959936580155,1.4730322315954254
2.26,1.58486636,1.58487325,1.58487872,1.58488057,1.5848831,1.58488681,1.58489565,1.58490181,1.58490576,1.5849088,36903.19731437797,36903.47161831395,36903.68938766495,36903.76303875061,36903.863761308334,36904.01146060393,36904.36338821423,36904.60862051764,36904.76587074805,36904.886893176445,0.27430393598478986,0.49207328697957564,0.5657243726382148,0.6664469303650549,0.8141462259591208,1.1660738362625125,1.411306139671069,1.5685563700826606,1.68957879847585,0.21776935099478578,0.291420436653425,0.392142994380265,0.5398422899743309,0.8917699002777226,1.1370022036862792,1.2942524340978707,1.41527486249106
3.7230000000000003,1.58116019,1.58116725,1.58117255,1.5811743,1.58117699,1.58118073,1.58118967,1.58119635,1.58120055,1.58120353,36755.301181722774,36755.58357283204,36755.795564500535,36755.86556143747,36755.97315642697,36756.12274885237,36756.48032787869,36756.74750956767,36756.91549689886,36757.0346873688,0.28239110926369904,0.49438277776062023,0.5643797146985889,0.671974704193417,0.8215671295984066,1.1791461559187155,1.4463278448965866,1.6143151760843466,1.7335056460287888,0.2119916684969212,0.2819886054348899,0.38958359492971795,0.5391760203347076,0.8967550466550165,1.1639367356328876,1.3319240668206476,1.4511145367650897
5.187,1.57830768,1.57831455,1.57832012,1.57832187,1.57832453,1.57832828,1.57833741,1.57834411,1.57834824,1.57835146,36640.99765389217,36641.27343944209,36641.49703673549,36641.5672869058,36641.67406686633,36641.82460191361,36642.19110158455,36642.4600526434,36642.62583775555,36642.75509334277,0.27578554992214777,0.49938284332165495,0.5696330136343022,0.6764129741641227,0.8269480214439682,1.1934476923779584,1.462398751231376,1.6281838633804,1.7574394506009412,0.22359729339950718,0.2938474637121544,0.40062742424197495,0.5511624715218204,0.9176621424558107,1.1866132013092283,1.3523983134582522,1.4816539006787934
6.651,1.57601271,1.57602007,1.57602577,1.57602765,1.57603036,1.57603391,1.57604325,1.57604985,1.57605419,1.57605726,36548.735066990674,36549.03138384526,36549.26086646413,36549.336555104215,36549.44565915596,36549.58858087007,36549.964602811495,36550.230311560255,36550.405033979194,36550.528627367254,0.29631685458298307,0.5257994734565727,0.6014881135415635,0.7105921652837424,0.853513879395905,1.2295358208211837,1.4952445695817005,1.669966988520173,1.7935603765799897,0.22948261887358967,0.30517125895858044,0.4142753107007593,0.5571970248129219,0.9332189662382007,1.1989277149987174,1.3736501339371898,1.4972435219970066
8.113999999999999,1.57400871,1.57401579,1.57402179,1.57402372,1.57402624,1.57403017,1.57403927,1.57404612,1.57405049,1.57405385,36467.95004075931,36468.23581102703,36468.47798720753,36468.5558868198,36468.65760001561,36468.81622351622,36469.18351662218,36469.45999269704,36469.63637106711,36469.77198397629,0.28577026772109093,0.5279464482227922,0.605846060490876,0.7075592563051032,0.8661827569158049,1.2334758628712734,1.5099519377326942,1.6863303077989258,1.8219432169789798,0.2421761805017013,0.32007579276978504,0.42178898858401226,0.580412489194714,0.9477055951501825,1.2241816700116033,1.4005600400778349,1.5361729492578888
9.578,1.57230277,1.57231029,1.57231608,1.5723179,1.57232051,1.57232435,1.57233395,1.57234076,1.5723451,1.57234844,36399.01811023331,36399.322299162726,36399.55650647547,36399.63012568896,36399.73570019766,36399.891027573285,36400.27934269307,36400.55480085627,36400.73034857297,36400.86544684714,0.3041889294181601,0.5383962421619799,0.6120154556483612,0.7175899643552839,0.8729173399769934,1.2612324597648694,1.5366906229610322,1.7122383396635996,1.8473366138350684,0.23420731274381978,0.3078265262302011,0.41340103493712377,0.5687284105588333,0.9570435303467093,1.232501693542872,1.4080494102454395,1.5431476844169083
11.040999999999999,1.57055686,1.57056429,1.57057013,1.57057231,1.57057488,1.57057903,1.57058823,1.57059499,1.57059931,1.57060276,36328.31605982097,36328.61727678783,36328.85403213417,36328.94240953478,36329.04659725615,36329.21483740936,36329.58780036191,36329.86184426833,36330.03697168312,36330.176829690536,0.3012169668581919,0.5379723131991341,0.6263497138061211,0.7305374351781211,0.8987775883870199,1.271740540934843,1.5457844473567093,1.7209118621467496,1.860769869563228,0.2367553463409422,0.32513274694792926,0.4293204683199292,0.597560621528828,0.9705235740766511,1.2445674804985174,1.4196948952885577,1.559552902705036
