Fuel,U-233,Xe-135,Efficiency,Poison Fraction
0.574077,0.0414157,0.018134,0.0,0.4378532778632258
0.567669,0.041983,0.00496266,0.05,0.11820641688302408
0.566738,0.04205,0.00287758,0.1,0.06843234244946492
0.566643,0.0420914,0.00246195,0.12,0.05849057052034382
0.566354,0.0420837,0.00202543,0.15,0.048128610364582956
0.566102,0.0421309,0.00156394,0.2,0.03712097296758436
0.565841,0.0421319,0.000816461,0.4,0.01937868930667736
0.565682,0.0421865,0.000552847,0.6,0.01310483211453901
0.565397,0.0421673,0.000417949,0.8,0.009911685120934943
0.565655,0.0421639,0.00033573,1.0,0.007962498725212801
