K_eff,Burnup (GWd/MTIHM)
1.59549074,0.0
1.59530323,0.032
1.59130176,0.7959999999999999
1.58490576,2.26
1.58120055,3.7230000000000003
1.57834824,5.187
1.57605419,6.651
1.57405049,8.113999999999999
1.5723451,9.578
1.57059931,11.040999999999999
1.56888414,12.505
1.56718326,13.969000000000001
1.56548436,15.432
1.5637812,16.896
1.56193601,18.36
1.56224153,19.823
1.5581858,21.287
1.55858989,22.75
