,time,tc99,tc99m,mo99,nb95,ru103,rh105,Steps,tc99_error,tc99m_error,mo99_error,nb95_error,ru103_error,rh105_error
0,730,8.733601722000001,0.0032853034515,0.041015279115,0.62495586154,0.36294780988,0.0042661331776,1,1.23304347826087,0.6372881355932202,0.0019940179461614494,0.04527872582480089,0.004518072289156707,0.020501138952163867
1,730,8.7444847148,0.0032853034515,0.041028882856,0.62481982413,0.36294780988,0.0042674935517,8,1.2358260869565219,0.6372881355932202,0.002326354270521832,0.04505119453924911,0.004518072289156707,0.02082655385616643
2,730,8.767611074500001,0.0032880241997,0.041056090338000006,0.62495586154,0.36308384729,0.0042702142999,10,1.241739130434783,0.6386440677966101,0.002991026919242428,0.04527872582480089,0.004894578313252971,0.02147738366417177
3,730,8.647898153700002,0.0032880241997,0.041042486597,0.62495586154,0.36308384729,0.0042756557963000005,12,1.211130434782609,0.6386440677966101,0.0026586905948820455,0.04527872582480089,0.004894578313252971,0.022779043280182237
4,730,8.6451774055,0.0032907449479,0.041042486597,0.62495586154,0.3632198847,0.004278376544499999,14,1.2104347826086956,0.64,0.0026586905948820455,0.04527872582480089,0.005271084337349389,0.02342987308818716
5,730,8.6370151609,0.0032961864443000004,0.041042486597,0.62481982413,0.3632198847,0.004271574674,16,1.2083478260869567,0.6427118644067797,0.0026586905948820455,0.04505119453924911,0.005271084337349389,0.021802798568174332
6,730,8.626132168100003,0.0033016279407,0.041056090338000006,0.62468378672,0.3632198847,0.004271574674,18,1.2055652173913052,0.6454237288135591,0.002991026919242428,0.04482366325369733,0.005271084337349389,0.021802798568174332
7,730,8.6125284271,0.0033084298112000003,0.041056090338000006,0.6244117119,0.36335592210999995,0.004271574674,20,1.2020869565217394,0.6488135593220339,0.002991026919242428,0.04436860068259376,0.005647590361445654,0.021802798568174332
8,730,8.4452024128,0.0033723673939000005,0.041069694079,0.6227792629800001,0.36335592210999995,0.0042810972927,36,1.159304347826087,0.6806779661016951,0.003323363243602472,0.04163822525597274,0.005647590361445654,0.024080702896192494
9,730,8.001720456200001,0.003452629465800001,0.041056090338000006,0.61570531766,0.36308384729,0.004135537264,68,1.045913043478261,0.7206779661016953,0.002991026919242428,0.02980659840728096,0.004894578313252971,0.010738691832086093
10,730,6.8726099532000005,0.0032118432501000004,0.041042486597,0.6123043824100001,0.36294780988,0.003999499854,132,0.757217391304348,0.600677966101695,0.0026586905948820455,0.024118316268486942,0.004518072289156707,0.04328018223234631
11,730,5.4142889180000005,0.002788766905,0.041001675374,0.6071349608300001,0.36240366024,0.004233484199199999,260,0.38434782608695667,0.38983050847457623,0.001661681621801236,0.015472127417519936,0.003012048192771036,0.012691181256101273
12,730,3.9110755375,0.0020065517975,0.040933656669,0.59788441695,0.36131536096,0.0041804296093000005,516,0.0,0.0,0.0,0.0,0.0,0.0
