,time,xe135,kr86,u235,u238,u233,th232,pu239,Steps,xe135_error,kr86_error,u235_error,u238_error,u233_error,th232_error,pu239_error
0,730,0.0086179699235,2.4024206606000003,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,1,0.046508127633955336,0.0011337868480726597,0.0,0.0,0.0,0.0,0.0
1,730,0.008619330297600002,2.4037810347,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,8,0.046357615894039444,0.001700680272108897,0.0,0.0,0.0,0.0,0.0
2,730,0.008620690671700001,2.4037810347,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,10,0.04620710415412375,0.001700680272108897,0.0,0.0,0.0,0.0,0.0
3,730,0.008623411419900001,2.4037810347,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,12,0.04590608067429236,0.001700680272108897,0.0,0.0,0.0,0.0,0.0
4,730,0.008624771794000001,2.4051414088000005,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,14,0.04575556893437666,0.0022675736961453195,0.0,0.0,0.0,0.0,0.0
5,730,0.008624771794000001,2.4051414088000005,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,16,0.04575556893437666,0.0022675736961453195,0.0,0.0,0.0,0.0,0.0
6,730,0.0086261321681,2.4051414088000005,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,18,0.045605057194460966,0.0022675736961453195,0.0,0.0,0.0,0.0,0.0
7,730,0.0086261321681,2.4051414088000005,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,20,0.045605057194460966,0.0022675736961453195,0.0,0.0,0.0,0.0,0.0
8,730,0.008628852916299999,2.4051414088000005,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,36,0.045304033714629766,0.0022675736961453195,0.0,0.0,0.0,0.0,0.0
9,730,0.0086302132904,2.4051414088000005,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,68,0.04515352197471388,0.0022675736961453195,0.0,0.0,0.0,0.0,0.0
10,730,0.0086587811465,2.4051414088000005,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,132,0.04199277543648389,0.0022675736961453195,0.0,0.0,0.0,0.0,0.0
11,730,0.008798899678800001,2.4065017829000004,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,260,0.026490066225165317,0.002834467120181557,0.0,0.0,0.0,0.0,0.0
12,730,0.009038325520399999,2.3996999124,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
