,time,xe135,kr86,u235,u238,u233,th232,pu239,Steps,xe135_error,kr86_error,u235_error,u238_error,u233_error,th232_error,pu239_error
0,730,0.008619330297600002,2.4010602865,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,1,0.04477611940298479,0.0005668934240362373,0.0,0.0,0.0,0.0,0.0
1,730,0.0086179699235,2.4010602865,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,44,0.044926880747776156,0.0005668934240362373,0.0,0.0,0.0,0.0,0.0
2,730,0.008620690671700001,2.4010602865,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,46,0.04462535805819361,0.0005668934240362373,0.0,0.0,0.0,0.0,0.0
3,730,0.008623411419900001,2.4024206606000003,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,48,0.04432383536861125,0.0011337868480726597,0.0,0.0,0.0,0.0,0.0
4,730,0.008624771794000001,2.4037810347,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,50,0.04417307402382008,0.001700680272108897,0.0,0.0,0.0,0.0,0.0
5,730,0.008624771794000001,2.4037810347,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,52,0.04417307402382008,0.001700680272108897,0.0,0.0,0.0,0.0,0.0
6,730,0.0086261321681,2.4037810347,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,54,0.0440223126790289,0.001700680272108897,0.0,0.0,0.0,0.0,0.0
7,730,0.0086261321681,2.4037810347,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,56,0.0440223126790289,0.001700680272108897,0.0,0.0,0.0,0.0,0.0
8,730,0.008628852916299999,2.4051414088000005,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,72,0.043720789989446736,0.0022675736961453195,0.0,0.0,0.0,0.0,0.0
9,730,0.008637015160900001,2.4051414088000005,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,104,0.04281622192069928,0.0022675736961453195,0.0,0.0,0.0,0.0,0.0
10,730,0.008656060398299999,2.4051414088000005,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,168,0.0407055630936228,0.0022675736961453195,0.0,0.0,0.0,0.0,0.0
11,730,0.008788016685999999,2.4065017829000004,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,296,0.026081712648876824,0.002834467120181557,0.0,0.0,0.0,0.0,0.0
12,730,0.009023361405299999,2.3996999124,9.138993203799999e-20,5.3775588173000006e-20,1.5793943300999998e-19,5.2578458965e-20,1.6446922869000002e-19,552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
