K_eff,Burnup (GWd/MTIHM)
1.29323956,0.0
1.20083988,5.761
1.08623181,18.562
1.00713993,32.644
0.96873969,46.725
0.95021016,60.806999999999995
0.93917186,74.889
0.93076391,88.97
0.92346255,103.052
0.91657911,117.134
0.90995726,131.215
