K_eff,Time
1.29323956,0.0
1.16595623,150.0
1.05084053,483.33
0.97166931,850.0
0.93189277,1216.67
0.9115568,1583.33
0.89891501,1950.0
0.88919415,2316.67
0.88071362,2683.33
0.87283461,3050.0
0.86541703,3416.67
