K_eff,Time
1.29323956,0.0
1.20039552,150.0
1.08580858,483.33
1.00673944,850.0
0.96834954,1216.67
0.94982645,1583.33
0.93879474,1950.0
0.93039176,2316.67
0.92308943,2683.33
0.9162084,3050.0
0.90958741,3416.67
