K_eff,Burnup (GWd/MTIHM)
1.29323956,0.0
1.19956338,5.761
1.08499848,18.562
1.00597863,32.644
0.96761898,46.725
0.94911093,60.806999999999995
0.93808717,74.889
0.9296857,88.97
0.92238803,103.052
0.91550764,117.134
0.90889378,131.215
