Fuel,U-235,Xe-135,Efficiency,Poison Fraction
0.607202,0.0507534,0.00221359,0.0,0.043614614981459375
0.605561,0.0509647,0.000421517,0.05,0.008270763881667115
0.605215,0.0510495,0.000232075,0.1,0.004546077826423373
0.604647,0.0510221,0.000161035,0.15,0.0031561813410267313
0.605076,0.0510112,0.000122995,0.2,0.002411137162035004
0.604563,0.0510942,6.32086e-05,0.4,0.0012370993185136473
0.605109,0.0510422,4.24602e-05,0.6,0.0008318646139860742
0.604919,0.0510961,3.1933e-05,0.8,0.0006249596348840714
0.605358,0.0510193,2.56168e-05,1.0,0.0005021001856160316
