Fuel,U-235,Xe-135,Efficiency,Poison Fraction
0.354541,0.135532,0.00436924,0.0,0.03223770032169524
0.351839,0.135927,0.00137968,0.05,0.010150154126847501
0.351685,0.135998,0.000819701,0.1,0.006027301872086354
0.351844,0.136019,0.000704069,0.12,0.005176254787934038
0.351108,0.136126,0.00058342,0.15,0.004285882197375961
0.351021,0.136084,0.000452303,0.2,0.0033237044766467765
0.350612,0.136131,0.000238824,0.4,0.0017543689534345595
0.350974,0.1361,0.00016196,0.6,0.0011900073475385746
0.351071,0.136077,0.000122543,0.8,0.0009005416051206302
0.351222,0.136077,9.85403e-05,1.0,0.0007241510321362169
