Fuel,U-233,Xe-135,Efficiency,Poison Fraction
0.492635,0.053164,0.0144895,0.0,0.27254345045519524
0.486013,0.0537384,0.00373594,0.05,0.06952086403763418
0.485029,0.0538555,0.00214574,0.1,0.03984254161599094
0.485056,0.0538569,0.00183328,0.12,0.03403983519289079
0.484824,0.0538415,0.00150609,0.15,0.027972660494228432
0.484464,0.0538716,0.00116124,0.2,0.021555699106764976
0.484069,0.0539569,0.000604727,0.4,0.011207593468119925
0.484382,0.0538993,0.000408333,0.6,0.007575849779125146
0.484054,0.0539705,0.000308242,0.8,0.005711305250090328
0.484098,0.0539207,0.000247806,1.0,0.004595748942428418
