K_eff,Time
1.62502328,0.0
1.60808459,150.0
1.59477218,483.33
1.58106127,850.0
1.56690194,1216.67
1.55241317,1583.33
1.53773854,1950.0
1.52287771,2316.67
1.50794402,2683.33
1.49284764,3050.0
1.47762573,3416.67
