K_eff,Time
1.62502328,0.0
1.60484608,150.0
1.59166007,483.33
1.57786702,850.0
1.56362607,1216.67
1.54904521,1583.33
1.53427228,1950.0
1.51930999,2316.67
1.50426527,2683.33
1.48905494,3050.0
1.47370915,3416.67
