K_eff,Burnup (GWd/MTIHM)
1.62502328,0.0
1.60838788,4.622
1.595062,14.892999999999999
1.58135896,26.191
1.56720747,37.489000000000004
1.55272712,48.788000000000004
1.53806329,60.086000000000006
1.52321214,71.384
1.50828865,82.682
1.49320477,93.98
1.47799484,105.279
