K_eff,Time
1.62502328,0.0
1.60844979,150.0
1.59512124,483.33
1.58141973,850.0
1.56727007,1216.67
1.55279147,1583.33
1.53812971,1950.0
1.52328041,2316.67
1.50835914,2683.33
1.49327782,3050.0
1.47807117,3416.67
