K_eff,Burnup (GWd/MTIHM)
1.22066046,0.0
1.20015336,0.93
1.17593442,2.995
1.14746675,5.267
1.12058269,7.539
1.09626336,9.812000000000001
1.07456776,12.084000000000001
1.05527457,14.356
1.03797683,16.628
1.02216419,18.9
1.00779683,21.171999999999997
