K_eff,Time
1.22066046,0.0
1.20021924,150.0
1.17599683,483.33
1.1475244,850.0
1.12063606,1216.67
1.09631445,1583.33
1.07461617,1950.0
1.05532108,2316.67
1.0380216,2683.33
1.02220677,3050.0
1.00783821,3416.67
