K_eff,Time
1.22066046,0.0
1.19959226,150.0
1.1754043,483.33
1.14697612,850.0
1.12011537,1216.67
1.09582864,1583.33
1.07415521,1950.0
1.05488009,2316.67
1.0376006,2683.33
1.02180046,3050.0
1.00744682,3416.67
