Burnup (GWd/MTIHM),Off-gas Eff: 0,Off-gas Eff: 5,Off-gas Eff: 10,Off-gas Eff: 15,Off-gas Eff: 20,Off-gas Eff: 40,Off-gas Eff: 60,Off-gas Eff: 80,Off-gas Eff: 100,Eff: 0 pcm,Eff: 5 pcm,Eff: 10 pcm,Eff: 15 pcm,Eff: 20 pcm,Eff: 40 pcm,Eff: 60 pcm,Eff: 80 pcm,Eff: 100 pcm,5-0,10-0,15-0,20-0,40-0,60-0,80-0,100-0,10-5,15-5,20-5,40-5,60-5,80-5,100-5
0.0,1.29323956,1.29323956,1.29323956,1.29323956,1.29323956,1.29323956,1.29323956,1.29323956,1.29323956,22674.805895978,22674.805895978,22674.805895978,22674.805895978,22674.805895978,22674.805895978,22674.805895978,22674.805895978,22674.805895978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.761,1.16595623,1.19538913,1.19801877,1.19914318,1.19956338,1.20039552,1.20069341,1.20083988,1.20092908,14233.487135276077,16345.232284318992,16528.853717375398,16607.122762437764,16636.33479708259,16694.124283302895,16714.792329875447,16724.950873550268,16731.13619665202,2111.7451490429157,2295.366582099321,2373.635627161688,2402.8476618065124,2460.637148026819,2481.30519459937,2491.463738274191,2497.6490613759433,183.6214330564053,261.8904781187721,291.1025127635967,348.89199898390325,369.5600455564545,379.7185892312755,385.9039123330276
18.562,1.05084053,1.08107025,1.0835304,1.08449072,1.08499848,1.08580858,1.08608947,1.08623181,1.08632119,4838.082330151474,7499.073256340189,7709.096117653911,7790.820008123262,7833.972265104011,7902.73548952799,7926.554153959332,7938.619473867177,7946.194071755154,2660.990926188715,2871.0137875024375,2952.737677971788,2995.8899349525373,3064.6531593765158,3088.4718238078585,3100.5371437157028,3108.1117416036805,210.0228613137224,291.7467517830728,334.89900876382217,403.66223318780067,427.48089761914343,439.5462175269877,447.12081541496536
32.644,0.97166931,1.00236459,1.00461335,1.00550454,1.00597863,1.00673944,1.00700306,1.00713993,1.00722147,-2915.671999561249,235.90119040418216,459.21647368115015,547.4405913671958,594.3098413531891,669.4324005027598,695.4358212178571,708.9312802839528,716.9694267934889,3151.573189965431,3374.888473242399,3463.1125909284447,3509.981840914438,3585.1044000640086,3611.107820779106,3624.6032798452015,3632.6414263547376,223.315283276968,311.53940096301363,358.4086509490069,433.5312100985777,459.53463081367494,473.0300898797706,481.0682363893067
46.725,0.93189277,0.96417082,0.96631299,0.96716064,0.96761898,0.96834954,0.96860777,0.96873969,0.96881954,-7308.483571559414,-3716.0614340102115,-3486.1385853873244,-3395.4400791165344,-3346.463914959583,-3268.495382359561,-3240.964090139399,-3226.905052274668,-3218.3971021063394,3592.422137549202,3822.344986172089,3913.043492442879,3962.019656599831,4039.9881891998525,4067.5194814200145,4081.5785192847457,4090.086469453074,229.92284862288716,320.6213548936771,369.59751905062876,447.5660516506505,475.09734387081244,489.1563817355436,497.66433190387215
60.806999999999995,0.9115568,0.94572797,0.94782488,0.94866179,0.94911093,0.94982645,0.95008021,0.95021016,0.95028503,-9702.434340899004,-5738.651252960196,-5504.72150509491,-5411.645176517551,-5361.762086124114,-5282.391325278424,-5254.271110436036,-5239.8766184524875,-5231.585096105327,3963.7830879388084,4197.7128358040945,4290.789164381454,4340.6722547748905,4420.04301562058,4448.163230462968,4462.557722446517,4470.849244793678,233.92974786528612,327.0060764426453,376.88916683608204,456.25992768177184,484.38014252415996,498.77463450770847,507.0661568548694
74.889,0.89891501,0.9347498,0.93681597,0.93764523,0.93808717,0.93879474,0.93904863,0.93917186,0.93925254,-11245.222170669955,-6980.4989527679,-6744.550906833915,-6650.145279361152,-6599.901584838862,-6519.557193087815,-6490.7575659846225,-6476.7847707873225,-6467.638618257021,4264.723217902055,4500.6712638360395,4595.076891308803,4645.320585831093,4725.66497758214,4754.464604685332,4768.437399882632,4777.583552412933,235.94804593398476,330.3536734067484,380.5973679290382,460.94175968008494,489.74138678327745,503.71418198057745,512.8603345108786
88.97,0.88919415,0.92646128,0.92842891,0.92924732,0.9296857,0.93039176,0.9306391,0.93076391,0.93084096,-12461.378653919392,-7937.592383785315,-7708.8390106249435,-7613.977299391082,-7563.233466966315,-7481.605383091526,-7453.039529501818,-7438.630704965771,-7429.737513914293,4523.786270134076,4752.539643294448,4847.40135452831,4898.1451869530765,4979.773270827865,5008.339124417574,5022.747948953621,5031.641140005098,228.75337316037167,323.61508439423324,374.3589168190001,455.987000693789,484.55285428349725,498.96167881954443,507.85486987102195
103.052,0.88071362,0.91919664,0.92122158,0.92194795,0.92238803,0.92308943,0.92341992,0.92346255,0.92354051,-13544.286961293958,-8790.6500615581,-8551.516997680408,-8465.99311815814,-8414.242973209439,-8331.865526832002,-8293.093785544506,-8288.094628201221,-8278.953567505117,4753.636899735857,4992.769963613549,5078.293843135818,5130.043988084519,5212.421434461956,5251.193175749451,5256.192333092737,5265.33339378884,239.13306387769262,324.65694339996116,376.407088348662,458.7845347260991,497.55627601359447,502.5554333568798,511.6964940529833
117.134,0.87283461,0.91224949,0.91427008,0.91515313,0.91550764,0.9162084,0.91646021,0.91657911,0.91665254,-14569.242390605941,-9619.135002202083,-9376.870344482892,-9271.330361947188,-9229.017466200507,-9145.47389000144,-9115.484675543088,-9101.330053223663,-9092.590306900807,4950.107388403858,5192.37204612305,5297.912028658753,5340.224924405435,5423.768500604501,5453.757715062853,5467.912337382279,5476.652083705134,242.26465771919175,347.8046402548953,390.1175360015768,473.6611122006434,503.65032665899525,517.8049489784207,526.5446953012761
