Fuel,U-235,Xe-135,Efficiency,Poison Fraction
0.35676,0.134238,0.0043852,0,3.2667%
0.354407,0.134642,0.00164762,0.05,1.2237%
0.353793,0.13469,0.00101433,0.1,0.7531%
0.353313,0.134775,0.000879292,0.12,0.6524%
0.353477,0.134805,0.000732429,0.15,0.5433%
0.353431,0.134781,0.000573997,0.2,0.4259%
0.353053,0.134838,0.000307116,0.4,0.2278%
0.353639,0.134753,0.000209306,0.6,0.1553%
0.353502,0.134852,0.000158678,0.8,0.1177%
0.352894,0.13478,0.000128294,1,0.0952%
