Time,Two_Four_Eight_Sixteen
0.00E+00,1.41E-11
2.00E+00,3.52E-02
6.00E+00,5.80E-02
1.40E+01,7.01E-02
3.00E+01,5.87E-02
3.14E+01,3.62E-02
3.27E+01,3.37E-02
3.41E+01,3.34E-02
3.55E+01,3.34E-02
3.68E+01,3.34E-02
