K_eff,Burnup (GWd/MTIHM)
1.59549074,0.0
1.59519051,0.064
1.58660726,1.7369999999999999
1.57829232,4.954
1.57367859,8.171
1.56969569,11.387
1.5659436,14.604000000000001
